Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
13,dc_sweep,gds_nmos_svt,25.25e-6,,,
13,dc_sweep,id_nmos_svt,-85.74e-18,,,
13,dc_sweep,sth_nmos_svt,490e-27,,,
13,dc_sweep,sfl_nmos_svt,0,,,
13,dc_sweep,cgg_pmos_svt,233.9e-15,,,
13,dc_sweep,cdd_pmos_svt,171.4e-15,,,
13,dc_sweep,css_pmos_svt,208.9e-15,,,
13,dc_sweep,gm_pmos_svt,0,,,
13,dc_sweep,gmb_pmos_svt,0,,,
13,dc_sweep,gds_pmos_svt,3.613e-6,,,
13,dc_sweep,id_pmos_svt,86.86e-12,,,
13,dc_sweep,sth_pmos_svt,92.29e-27,,,
13,dc_sweep,sfl_pmos_svt,0,,,
"Parameters: ds=0, gs=300m, length=1.5u, sb=250m",,,,,,
14,dc_sweep,cgg_nmos_svt,77.68e-15,,,
14,dc_sweep,cdd_nmos_svt,34.8e-15,,,
14,dc_sweep,css_nmos_svt,33.01e-15,,,
14,dc_sweep,gm_nmos_svt,0,,,
14,dc_sweep,gmb_nmos_svt,0,,,
14,dc_sweep,gds_nmos_svt,11.59e-6,,,
14,dc_sweep,id_nmos_svt,-4.953e-18,,,
14,dc_sweep,sth_nmos_svt,225.2e-27,,,
14,dc_sweep,sfl_nmos_svt,0,,,
14,dc_sweep,cgg_pmos_svt,167.8e-15,,,
14,dc_sweep,cdd_pmos_svt,103e-15,,,
14,dc_sweep,css_pmos_svt,120.2e-15,,,
14,dc_sweep,gm_pmos_svt,0,,,
14,dc_sweep,gmb_pmos_svt,0,,,
14,dc_sweep,gds_pmos_svt,1.478e-6,,,
14,dc_sweep,id_pmos_svt,90.14e-12,,,
14,dc_sweep,sth_pmos_svt,37.62e-27,,,
14,dc_sweep,sfl_pmos_svt,0,,,
"Parameters: ds=0, gs=300m, length=1.5u, sb=500m",,,,,,
15,dc_sweep,cgg_nmos_svt,58.84e-15,,,
15,dc_sweep,cdd_nmos_svt,14.6e-15,,,
15,dc_sweep,css_nmos_svt,15.08e-15,,,
15,dc_sweep,gm_nmos_svt,0,,,
